序号,轮次,顺序,奖品,中奖号码,抽奖时间
1,1,1,小红狗玩偶,212,2017-01-02 23:49:27
2,1,1,小红狗玩偶,1602,2017-01-02 23:49:27
3,1,1,小红狗玩偶,1827,2017-01-02 23:49:27
4,1,1,小红狗玩偶,1337,2017-01-02 23:49:27
5,1,1,小红狗玩偶,1111,2017-01-02 23:49:27
6,1,1,小红狗玩偶,1736,2017-01-02 23:49:27
7,1,1,小红狗玩偶,1110,2017-01-02 23:49:27
8,1,1,小红狗玩偶,417,2017-01-02 23:49:27
9,1,1,小红狗玩偶,138,2017-01-02 23:49:27
10,1,1,小红狗玩偶,507,2017-01-02 23:49:27
11,1,1,小红狗玩偶,387,2017-01-02 23:49:32
12,1,1,小红狗玩偶,1161,2017-01-02 23:49:32
13,1,1,小红狗玩偶,559,2017-01-02 23:49:32
14,1,1,小红狗玩偶,1193,2017-01-02 23:49:32
15,1,1,小红狗玩偶,1029,2017-01-02 23:49:32
16,1,1,小红狗玩偶,627,2017-01-02 23:49:32
17,1,1,小红狗玩偶,1941,2017-01-02 23:49:32
18,1,1,小红狗玩偶,328,2017-01-02 23:49:32
19,1,1,小红狗玩偶,1496,2017-01-02 23:49:32
20,1,1,小红狗玩偶,1643,2017-01-02 23:49:32
21,1,2,桌面宝,1955,2017-01-02 23:49:37
22,1,2,桌面宝,441,2017-01-02 23:49:37
23,1,2,桌面宝,1252,2017-01-02 23:49:37
24,1,2,桌面宝,427,2017-01-02 23:49:37
25,1,2,桌面宝,1509,2017-01-02 23:49:37
26,1,3,盼盼生榨椰子汁,306,2017-01-02 23:49:45
27,1,3,盼盼生榨椰子汁,457,2017-01-02 23:49:45
28,1,3,盼盼生榨椰子汁,61,2017-01-02 23:49:45
29,1,4,翠佛堂吊坠,620,2017-01-02 23:49:52
30,2,1,小红狗玩偶,31,2017-01-02 23:49:56
31,2,1,小红狗玩偶,1863,2017-01-02 23:49:56
32,2,1,小红狗玩偶,1518,2017-01-02 23:49:56
33,2,1,小红狗玩偶,618,2017-01-02 23:49:56
34,2,1,小红狗玩偶,389,2017-01-02 23:49:56
35,2,1,小红狗玩偶,431,2017-01-02 23:49:56
36,2,1,小红狗玩偶,1065,2017-01-02 23:49:56
37,2,1,小红狗玩偶,112,2017-01-02 23:49:56
38,2,1,小红狗玩偶,1962,2017-01-02 23:49:56
39,2,1,小红狗玩偶,1379,2017-01-02 23:49:56
40,2,1,小红狗玩偶,1714,2017-01-02 23:50:01
41,2,1,小红狗玩偶,1455,2017-01-02 23:50:01
42,2,1,小红狗玩偶,262,2017-01-02 23:50:01
43,2,1,小红狗玩偶,362,2017-01-02 23:50:01
44,2,1,小红狗玩偶,322,2017-01-02 23:50:01
45,2,1,小红狗玩偶,650,2017-01-02 23:50:01
46,2,1,小红狗玩偶,1822,2017-01-02 23:50:01
47,2,1,小红狗玩偶,295,2017-01-02 23:50:01
48,2,1,小红狗玩偶,486,2017-01-02 23:50:01
49,2,1,小红狗玩偶,872,2017-01-02 23:50:01
50,2,2,盼盼生榨椰子汁,1100,2017-01-02 23:50:06
51,2,2,盼盼生榨椰子汁,1985,2017-01-02 23:50:06
52,2,2,盼盼生榨椰子汁,964,2017-01-02 23:50:06
53,2,3,D-9真空吸尘器,685,2017-01-02 23:50:11
54,2,4,翠佛堂吊坠,1900,2017-01-02 23:50:15
55,2,4,翠佛堂吊坠,763,2017-01-02 23:50:15
56,3,1,小红狗玩偶,1325,2017-01-02 23:50:18
57,3,1,小红狗玩偶,1646,2017-01-02 23:50:18
58,3,1,小红狗玩偶,1993,2017-01-02 23:50:18
59,3,1,小红狗玩偶,1238,2017-01-02 23:50:18
60,3,1,小红狗玩偶,1954,2017-01-02 23:50:18
61,3,1,小红狗玩偶,270,2017-01-02 23:50:18
62,3,1,小红狗玩偶,1627,2017-01-02 23:50:18
63,3,1,小红狗玩偶,669,2017-01-02 23:50:18
64,3,1,小红狗玩偶,277,2017-01-02 23:50:18
65,3,1,小红狗玩偶,1853,2017-01-02 23:50:18
66,3,1,小红狗玩偶,737,2017-01-02 23:50:22
67,3,1,小红狗玩偶,32,2017-01-02 23:50:22
68,3,1,小红狗玩偶,1788,2017-01-02 23:50:22
69,3,1,小红狗玩偶,696,2017-01-02 23:50:22
70,3,1,小红狗玩偶,1281,2017-01-02 23:50:22
71,3,1,小红狗玩偶,1723,2017-01-02 23:50:22
72,3,1,小红狗玩偶,357,2017-01-02 23:50:22
73,3,1,小红狗玩偶,1984,2017-01-02 23:50:22
74,3,1,小红狗玩偶,167,2017-01-02 23:50:22
75,3,1,小红狗玩偶,100,2017-01-02 23:50:22
76,3,2,V-M900R扫地机器人,1099,2017-01-02 23:50:26
77,3,3,翠佛堂吊坠,1579,2017-01-02 23:50:35
78,3,3,翠佛堂吊坠,1568,2017-01-02 23:50:35
79,3,3,翠佛堂吊坠,1708,2017-01-02 23:50:35
